Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-09-27 00:00:00-04:00,7820.0,7820.0,7820.0,7820.0,387,0.0,0.0
2024-09-30 00:00:00-04:00,7400.0,7750.0,7400.0,7750.0,3339,0.0,0.0
2024-10-01 00:00:00-04:00,7750.0,7750.0,7750.0,7750.0,372,0.0,0.0
2024-10-02 00:00:00-04:00,7750.0,7750.0,7750.0,7750.0,667,0.0,0.0
2024-10-03 00:00:00-04:00,7750.0,7750.0,7750.0,7750.0,515,0.0,0.0
2024-10-04 00:00:00-04:00,7750.0,7750.0,7750.0,7750.0,1187,0.0,0.0
2024-10-07 00:00:00-04:00,7480.0,7480.0,7480.0,7480.0,1828,0.0,0.0
2024-10-08 00:00:00-04:00,7480.0,7480.0,7480.0,7480.0,923,0.0,0.0
2024-10-09 00:00:00-04:00,7480.0,7480.0,7480.0,7480.0,53,0.0,0.0
2024-10-10 00:00:00-04:00,7000.0,7180.0,7000.0,7180.0,71461,0.0,0.0
2024-10-11 00:00:00-04:00,7180.0,7180.0,7180.0,7180.0,3147,0.0,0.0
2024-10-15 00:00:00-04:00,7180.0,7180.0,7180.0,7180.0,1398,0.0,0.0
2024-10-16 00:00:00-04:00,7180.0,7180.0,7180.0,7180.0,2288,0.0,0.0
2024-10-17 00:00:00-04:00,7200.0,7210.0,7200.0,7200.0,17568,0.0,0.0
2024-10-18 00:00:00-04:00,7100.0,7290.0,7100.0,7290.0,7726,0.0,0.0
2024-10-21 00:00:00-04:00,7210.0,7210.0,7110.0,7110.0,7592,0.0,0.0
2024-10-22 00:00:00-04:00,7110.0,7110.0,7110.0,7110.0,387,0.0,0.0
2024-10-23 00:00:00-04:00,7120.0,7120.0,6910.0,6910.0,8012,0.0,0.0
2024-10-24 00:00:00-04:00,7000.0,7000.0,7000.0,7000.0,2697,0.0,0.0
2024-10-25 00:00:00-04:00,7400.0,7420.0,7220.0,7420.0,33013,0.0,0.0
2024-10-28 00:00:00-04:00,7420.0,7420.0,7420.0,7420.0,9017,0.0,0.0
2024-10-29 00:00:00-04:00,7200.0,7340.0,6700.0,7340.0,13162,0.0,0.0
2024-10-30 00:00:00-04:00,7340.0,7340.0,7340.0,7340.0,3576,0.0,0.0
2024-10-31 00:00:00-04:00,7340.0,7340.0,7340.0,7340.0,1852,0.0,0.0
2024-11-01 00:00:00-04:00,7340.0,7340.0,7340.0,7340.0,1431,0.0,0.0
2024-11-05 00:00:00-05:00,7340.0,7340.0,7340.0,7340.0,2597,0.0,0.0
2024-11-06 00:00:00-05:00,7470.0,7470.0,7470.0,7470.0,3264,0.0,0.0
2024-11-07 00:00:00-05:00,7470.0,7470.0,7250.0,7250.0,9832,0.0,0.0
2024-11-08 00:00:00-05:00,7300.0,7300.0,7260.0,7260.0,7113,0.0,0.0
2024-11-12 00:00:00-05:00,7260.0,7260.0,7260.0,7260.0,4741,0.0,0.0
2024-11-13 00:00:00-05:00,7320.0,7320.0,7320.0,7320.0,9259,0.0,0.0
2024-11-14 00:00:00-05:00,7320.0,7320.0,7320.0,7320.0,2542,0.0,0.0
2024-11-15 00:00:00-05:00,7110.0,7110.0,7110.0,7110.0,2847,0.0,0.0
2024-11-18 00:00:00-05:00,7130.0,7180.0,7130.0,7180.0,5701,0.0,0.0
2024-11-19 00:00:00-05:00,7110.0,7110.0,7110.0,7110.0,4962,0.0,0.0
